28028,15820,-541,-16702,-28441,-32767,-28649,-17236,
-1500,14554,26922,32588,30239,20541,5922,-10060,
-23592,-31515,-32045,-25147,-12496,2953,17675,28376,
32729,29851,20461,6675,-8488,-21783,-30424,-32661,
-28111,-17797,-3898,10731,23149,30919,32572,27866,
17796,4362,-9842,-22133,-30248,-32744,-29241,-20458,
-8042,5747,18461,27899,32473,31472,25142,14624,
1725,-11397,-22600,-30105,-32767,-30236,-22985,-12209,
386,12861,23342,30300,32767,30450,23759,13715,
1789,-10325,-20951,-28661,-32460,-31903,-27134,-18846,
-8167,3497,14656,23923,30185,32728,31307,26160,
17958,7711,-3365,-13995,-22989,-29377,-32505,-32090,
-28242,-21430,-12422,-2187,8209,17714,25402,30551,
32712,31735,27772,21252,12822,3287,-6480,-15611,
-23323,-28983,-32152,-32618,-30398,-25728,-19033,-10885,
-1950,7071,15494,22704,28199,31619,32767,31614,
28291,23074,16356,8614,375,-7823,-15465,-22094,
-27328,-30890,-32610,-32435,-30422,-26729,-21603,-15358,
-8354,-977,6385,13362,19617,24868,28890,31530,
32704,32401,30676,27644,23473,18369,12570,6329,
-96,-6452,-12501,-18029,-22851,-26820,-29826,-31797,
-32702,-32547,-31372,-29249,-26275,-22566,-18257,-13491,
-8416,-3180,2073,7207,12099,16637,20728,24294,
27275,29629,31332,32374,32763,32519,31673,30269,
28356,25991,23236,20155,16813,13276,9606,5865,
2110,-1606,-5235,-8735,-12069,-15204,-18115,-20781,
-23187,-25323,-27182,-28765,-30072,-31109,-31885,-32410,
-32698,-32763,-32621,-32288,-31782,-31120,-30319,-29398,
-28372,-27258,-26071,-24828,-23540,-22222,-20885,-19541,
-18199,-16870,-15560,-14278,-13029,-11820,-10656,-9541,
-8478,-7471,-6522,-5633,-4806,-4043,-3344,-2710,
-2142,-1641,-1206,-837,-536,-301,-134,-33,
